,rating,genre,star,budget,runtime,star_net_worth
14074,R,Action,Shô Kosugi,700000.0,90.0,6000000.0
14097,PG-13,Action,Will Smith,75000000.0,145.0,350000000.0
14146,PG,Comedy,Mel Brooks,9000000.0,107.0,100000000.0
14249,R,Adventure,Faye Dunaway,8000000.0,98.0,40000000.0
14276,R,Horror,Peter Weller,4000000.0,88.0,8000000.0
14284,PG,Comedy,David Niven,11000000.0,109.0,100000000.0
14292,R,Action,Max Gail,8000000.0,100.0,6000000.0
14300,R,Comedy,Walter Matthau,12000000.0,103.0,10000000.0
14370,R,Drama,Pia Zadora,5000000.0,92.0,25000000.0
14423,R,Comedy,Burt Reynolds,19000000.0,110.0,3000000.0
14446,R,Horror,Cristina Raines,6000000.0,99.0,
14519,PG,Comedy,Chevy Chase,10000000.0,99.0,50000000.0
14529,PG,Action,Kirk Douglas,5000000.0,95.0,60000000.0
14553,R,Comedy,Rosanna Arquette,3000000.0,105.0,20000000.0
14693,R,Drama,Jamie Lee Curtis,550000.0,88.0,60000000.0
14837,R,Comedy,Malcolm McDowell,5500000.0,92.0,50000000.0
14864,R,Drama,Linda Griffiths,300000.0,110.0,
14871,PG,Comedy,Dudley Moore,10100000.0,95.0,25000000.0
14983,PG,Biography,Robby Benson,8000000.0,106.0,2000000.0
15256,PG,Comedy,Margot Kidder,5000000.0,91.0,300000.0
15510,R,Action,Arnold Schwarzenegger,6400000.0,107.0,400000000.0
15531,PG-13,Action,Kyle MacLachlan,40000000.0,137.0,3000000.0
15560,PG,Action,Bill Murray,30000000.0,105.0,180000000.0
15614,PG,Action,Ralph Macchio,8000000.0,126.0,4000000.0
15674,R,Crime,Robert De Niro,30000000.0,229.0,500000000.0
15684,R,Comedy,Steve Guttenberg,4500000.0,96.0,14000000.0
15697,PG,Action,Harrison Ford,28000000.0,118.0,300000000.0
15710,R,Crime,Craig Wasson,10000000.0,114.0,
15718,R,Horror,Heather Langenkamp,1800000.0,91.0,1500000.0
15766,PG,Biography,F. Murray Abraham,18000000.0,160.0,10000000.0
15785,R,Action,Eddie Murphy,14000000.0,105.0,200000000.0
15802,PG-13,Action,Patrick Swayze,17000000.0,114.0,40000000.0
15864,PG,Adventure,Noah Hathaway,27000000.0,102.0,2000000.0
15874,PG,Drama,Kevin Bacon,8200000.0,107.0,45000000.0
15920,R,Comedy,Robert Carradine,8000000.0,90.0,300000.0
15944,PG,Comedy,Zach Galligan,11000000.0,106.0,500000.0
15954,PG,Action,Michael Douglas,10000000.0,106.0,350000000.0
15963,PG,Action,Michael Paré,14500000.0,93.0,2000000.0
15979,PG,Comedy,Molly Ringwald,6500000.0,93.0,11000000.0
15996,R,Comedy,Rob Reiner,2500000.0,82.0,200000000.0
16028,PG,Comedy,Val Kilmer,9000000.0,90.0,25000000.0
16044,PG,Action,Arnold Schwarzenegger,18000000.0,103.0,400000000.0
16054,R,Horror,Peter Horton,800000.0,92.0,3000000.0
16078,PG,Action,Lance Guest,15000000.0,101.0,
16086,PG,Comedy,Tom Hanks,8000000.0,111.0,400000000.0
16136,R,Crime,John Getz,1500000.0,99.0,
16148,PG,Drama,Robert Redford,28000000.0,138.0,200000000.0
16181,R,Comedy,Tom Hanks,5000000.0,105.0,400000000.0
16227,R,Action,Rachel Ward,13000000.0,128.0,10000000.0
16285,PG,Action,Helen Slater,35000000.0,124.0,3000000.0
16320,PG,Adventure,Mel Gibson,25000000.0,132.0,425000000.0
16360,R,Action,Drew Barrymore,15000000.0,114.0,125000000.0
16386,R,Horror,John Heard,1250000.0,88.0,3500000.0
16394,PG-13,Comedy,Gene Wilder,9000000.0,87.0,20000000.0
16721,PG,Action,William Shatner,17000000.0,105.0,100000000.0
16728,R,Action,Harry Dean Stanton,1500000.0,92.0,10000000.0
16735,R,Biography,Sam Waterston,14400000.0,141.0,15000000.0
16743,R,Crime,Richard Gere,58000000.0,127.0,120000000.0
16754,PG,Romance,Jeff Bridges,22000000.0,115.0,100000000.0
16805,PG-13,Comedy,Catherine Mary Stewart,700000.0,95.0,3000000.0
16907,PG,Adventure,Michael Paré,21000000.0,102.0,2000000.0
16933,R,Comedy,Bo Derek,7000000.0,105.0,40000000.0
16987,PG,Action,Burt Reynolds,20000000.0,108.0,3000000.0
16996,R,Comedy,John Lurie,90000.0,89.0,
17009,PG,Action,Robert Urich,9000000.0,91.0,3000000.0
17017,PG,Adventure,Judy Davis,16000000.0,164.0,5000000.0
17026,R,Drama,Prince,7200000.0,111.0,500000.0
17035,R,Comedy,Rob Lowe,7500000.0,109.0,100000000.0
17317,PG,Adventure,Tanya Roberts,25000000.0,117.0,10000000.0
17327,R,Action,Chuck Norris,2550000.0,101.0,70000000.0
17346,PG,Adventure,Christopher Lambert,30000000.0,143.0,5000000.0
17388,PG-13,Drama,Robert De Niro,12000000.0,106.0,500000000.0
17426,R,Drama,Matthew Modine,12000000.0,120.0,10000000.0
17435,R,Drama,Sarah Patterson,2000000.0,95.0,
17462,PG,Comedy,Sean Penn,6500000.0,108.0,70000000.0
17470,R,Horror,Lilyan Chauvin,1065000.0,79.0,
17484,R,Action,Eric Roberts,8000000.0,121.0,8000000.0
17823,PG,Comedy,Sylvester Stallone,28000000.0,111.0,400000000.0
17879,PG,Drama,Goldie Hawn,15000000.0,100.0,90000000.0
17901,PG,Drama,Rae Dawn Chong,9500000.0,105.0,4000000.0
17930,PG-13,Drama,Bill Murray,13000000.0,128.0,180000000.0
17969,R,Comedy,Robin Williams,13000000.0,115.0,50000000.0
17994,R,Action,Charles Bronson,4600000.0,90.0,65000000.0
18012,R,Drama,Teri Garr,8000000.0,103.0,4000000.0
18051,R,Comedy,Nick Nolte,9000000.0,107.0,75000000.0
18123,PG-13,Drama,Mel Gibson,18000000.0,124.0,425000000.0
18307,PG,Crime,Howard E. Rollins Jr.,6000000.0,101.0,
