,title,rating,genre,score,star,budget,runtime,star_net_worth,movie_star_rating
143817,The Holiday,PG-13,Comedy,6.9,Kate Winslet,85000000,136,65000000,B
143842,Basic Instinct 2,R,Drama,4.3,Sharon Stone,70000000,114,60000000,B
144041,RV,PG,Adventure,5.5,Robin Williams,50000000,99,50000000,B
144049,Tenacious D in the Pick of Destiny,R,Adventure,6.8,Jack Black,20000000,93,50000000,B
144083,Step Up,PG-13,Crime,6.5,Channing Tatum,12000000,104,80000000,B
144239,Crank,R,Action,6.9,Jason Statham,12000000,88,90000000,B
144709,A Good Year,PG-13,Comedy,7,Russell Crowe,35000000,117,100000000,B
144727,Miami Vice,R,Action,6,Colin Farrell,135000000,132,80000000,B
145002,The Benchwarmers,PG-13,Comedy,5.5,David Spade,33000000,85,60000000,B
145042,Rescue Dawn,PG-13,Action,7.3,Christian Bale,10000000,120,120000000,B
145086,Catch and Release,PG-13,Comedy,6,Jennifer Garner,25000000,124,80000000,B
145183,The Pink Panther,PG,Adventure,5.7,Steve Martin,80000000,93,140000000,B
145288,Failure to Launch,PG-13,Comedy,5.6,Matthew McConaughey,50000000,97,140000000,B
145860,Notes on a Scandal,R,Crime,7.4,Cate Blanchett,15000000,92,95000000,B
146026,We Are Marshall,PG,Drama,7.1,Matthew McConaughey,65000000,131,140000000,B
146125,The Marine,PG-13,Action,4.7,John Cena,20000000,92,60000000,B
146175,Ultraviolet,PG-13,Action,4.4,Milla Jovovich,30000000,88,50000000,B
146275,Barnyard,PG,Animation,5.6,Kevin James,51000000,90,100000000,B
146303,Zoom,PG,Action,4.4,Tim Allen,35000000,83,100000000,B
146376,Curse of the Golden Flower,R,Action,7,Chow Yun-Fat,45000000,114,100000000,B
146434,"You, Me and Dupree",PG-13,Comedy,5.6,Kate Hudson,54000000,110,80000000,B
146660,Last Holiday,PG-13,Comedy,6.5,Queen Latifah,45000000,112,70000000,B
146697,All the King's Men,PG-13,Drama,6.2,Sean Penn,55000000,128,70000000,B
146771,ATL,PG-13,Comedy,6.2,T.I.,20000000,105,50000000,B
146871,Half Nelson,R,Drama,7.2,Ryan Gosling,700000,106,70000000,B
146900,The Wild,G,Animation,5.2,Kiefer Sutherland,80000000,82,100000000,B
146997,Take the Lead,PG-13,Drama,6.6,Antonio Banderas,30000000,118,50000000,B
147068,The Santa Clause 3: The Escape Clause,G,Adventure,4.8,Tim Allen,12000000,92,100000000,B
147078,Miss Potter,PG,Biography,7,Renée Zellweger,30000000,88,90000000,B
147088,Big Momma's House 2,PG-13,Comedy,4.8,Martin Lawrence,40000000,99,110000000,B
147169,Mini's First Time,R,Comedy,5.8,Alec Baldwin,6000000,91,60000000,B
147471,There Will Be Blood,R,Drama,8.2,Daniel Day-Lewis,25000000,158,60000000,B
